"Brand.Name","Generic.Name","Drug.Uses","key","Med_Cat","Med_Sub_Cat","Term_Matched"
"CYRAMZA","RAMUCIRUMAB","Ramucirumab is used alone or with another medication (such as paclitaxel) to treat certain cancers (stomach and gastroesophageal cancer). It may also be used with other medication(s) to treat lung, rectal, or colon cancer. It works by slowing or stopping the growth of cancer cells.","CYRAMZA_RAMUCIRUMAB","Gastroenterology","Upper_GI","gastro"
"CYRED EQ","DESOGESTREL-ETHINYL ESTRADIOL","This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen. It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia).","CYRED EQ_DESOGESTREL-ETHINYL ESTRADIOL","Dermatology","Acne","acne"
"CYRED","DESOGESTREL-ETHINYL ESTRADIOL","This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen. It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia).","CYRED_DESOGESTREL-ETHINYL ESTRADIOL","Dermatology","Acne","acne"
"CYSTADANE","BETAINE","This medication is used to treat high levels of a certain important body chemical (homocysteine) due to an inherited disorder (homocystinuria). Decreasing high homocysteine levels may help prevent serious blood clots, abnormal bone formation, brittle bones (osteoporosis), and eye problems (e.g., dislocated eye lens, nearsightedness). This medication works by decreasing blood levels of homocysteine. It does not correct the inherited disorder that causes the disease.","CYSTADANE_BETAINE","Orthopedics","Musculoskeletal","bone"
"CYSTADROPS","CYSTEAMINE HCL","Cysteamine is used to treat eye problems in people with cystinosis, a hereditary metabolic disorder that causes build-up of a certain natural substance (cystine) in the body. This medication helps get rid of cystine build-up in the eyes.","CYSTADROPS_CYSTEAMINE HCL","Ophthalmology","General_Ophthalmology","eye"
"CYSTAGON","CYSTEAMINE BITARTRATE","This medication is used to help preserve kidney function and manage kidney damage and other problems in people with an inherited disorder that causes build-up of a certain natural substance (cystine) in the body (nephropathic cystinosis). Cystine build-up can cause problems such as kidney problems, slow growth, weak bones, and eye problems. Cysteamine helps the body get rid of cystine.","CYSTAGON_CYSTEAMINE BITARTRATE","Orthopedics","Musculoskeletal","bone"
"CYSTARAN","CYSTEAMINE HCL","Cysteamine is used to treat eye problems in people with cystinosis, a hereditary metabolic disorder that causes build-up of a certain natural substance (cystine) in the body. This medication helps get rid of cystine build-up in the eyes.","CYSTARAN_CYSTEAMINE HCL","Ophthalmology","General_Ophthalmology","eye"
"CYTARABINE","CYTARABINE","Cytarabine is used alone or with other medications to treat various types of cancer. It is a chemotherapy drug that works by slowing or stopping cancer cell growth.","CYTARABINE_CYTARABINE","Oncology","General_Oncology","chemotherapy"
"CYTARABINE","CYTARABINE/PF","Cytarabine is used alone or with other medications to treat various types of cancer. It is a chemotherapy drug that works by slowing or stopping cancer cell growth.","CYTARABINE_CYTARABINE/PF","Oncology","General_Oncology","chemotherapy"
"CYTOGAM","CYTOMEGALOVIRUS IMMUNE GLOBULN","This medication is used to prevent a certain serious viral infection (cytomegalovirus-CMV) in persons having an organ transplant (kidney, heart, liver, lung, pancreas). During the transplant process, the body's defense system (immune system) is weakened to prevent the body from attacking (rejecting) the new organ. A weakened immune system increases the risk of a serious, possibly fatal infection with CMV. This medication is made from healthy human blood that has a high level of certain defensive substances (antibodies) that help fight CMV. This medication is often used with the antiviral medication ganciclovir.","CYTOGAM_CYTOMEGALOVIRUS IMMUNE GLOBULN","Gastroenterology","Liver","liver"
"CYTOMEL","LIOTHYRONINE SODIUM","Liothyronine is used to treat an underactive thyroid (hypothyroidism). It replaces or provides more thyroid hormone, which is normally made by the thyroid gland. Liothyronine is a man-made form of thyroid hormone. Low thyroid hormone levels can occur naturally or when the thyroid gland is injured by radiation/medications or removed by surgery. Having enough thyroid hormone helps you stay healthy. For children, having enough thyroid hormone helps them grow and learn normally. This medication is also used to treat other types of thyroid problems (such as certain types of goiters, thyroid cancer). It can also be used to test for certain types of thyroid disease. This medication should not be used to treat infertility unless it is caused by low thyroid hormone levels.","CYTOMEL_LIOTHYRONINE SODIUM","Endocrinology","Thyroid","thyroid"
"CYTOTEC","MISOPROSTOL","This medication is used to prevent stomach ulcers while you take NSAIDs (e.g., aspirin, ibuprofen, naproxen), especially if you are at risk for developing ulcers or have a history of ulcers. Misoprostol helps to decrease your risk of serious ulcer complications such as bleeding. This medication protects your stomach lining by lowering the amount of acid that comes in contact with it. This medication is also used in combination with another drug (mifepristone) to end a pregnancy (abortion).","CYTOTEC_MISOPROSTOL","Gastroenterology","Inflammatory_Bowel","ulcer"
"CYTRA-K","POTASSIUM CITRATE/CITRIC ACID","This medication is used to make the urine less acidic. This effect helps the kidneys get rid of uric acid, thereby helping to prevent gout and kidney stones. This medication can also prevent and treat certain metabolic problems (acidosis) caused by kidney disease. Citric acid and citrate salts (which contain potassium and sodium) belong to a class of drugs known as urinary alkalinizers. If you have a condition that requires you to limit your intake of potassium and sodium, your doctor may direct you to take a product that is lower in potassium and sodium.","CYTRA-K_POTASSIUM CITRATE/CITRIC ACID","Orthopedics","Arthritis","gout"
"DABIGATRAN ETEXILATE","DABIGATRAN ETEXILATE MESYLATE","Dabigatran is used to prevent stroke and harmful blood clots (such as in your legs or lungs) if you have a certain type of irregular heartbeat (atrial fibrillation). Dabigatran is also used to treat blood clots in the veins of your legs (deep vein thrombosis) or lungs (pulmonary embolism) and to reduce the risk of them occurring again. This medication may also be used to prevent these blood clots from forming after hip replacement surgery. Dabigatran is an anticoagulant that works by blocking a certain substance (a clotting protein called thrombin) in your blood. This helps to keep blood flowing smoothly in your body. Dabigatran should not be used to prevent blood clots from forming after artificial heart valve replacement. If you have had heart valve surgery, talk to your doctor about the best medication for you. Do not stop taking any medication, including dabigatran, without talking to your doctor first.","DABIGATRAN ETEXILATE_DABIGATRAN ETEXILATE MESYLATE","Cardiology","Vascular_Heart_Disease","anticoagulant"
"DACARBAZINE","DACARBAZINE","Dacarbazine is used to treat certain types of cancer, such as skin cancer that has spread (metastatic malignant melanoma) and Hodgkin's disease. It is a cancer chemotherapy drug that is used alone or with other medications to slow or stop cancer cell growth.","DACARBAZINE_DACARBAZINE","Oncology","General_Oncology","chemotherapy"
"DAKLINZA","DACLATASVIR DIHYDROCHLORIDE","Daclatasvir is used with another antiviral medication (sofosbuvir) to treat chronic (long-lasting) hepatitis C, a viral infection of the liver. Daclatasvir should never be used without sofosbuvir. Daclatasvir and sofosbuvir may also be used with another antiviral medication (ribavirin). These medications together reduce the amount of hepatitis C virus in your body, which helps your immune system fight the infection and may help your liver recover. Chronic hepatitis C infection can cause serious liver problems such as scarring (cirrhosis), or liver cancer. It is not known if this treatment can prevent you from passing the virus to others. Do not share needles, and practice ""safer sex"" (including the use of latex condoms) to lower the risk of passing the virus to others.","DAKLINZA_DACLATASVIR DIHYDROCHLORIDE","Gastroenterology","Liver","liver"
"DALFAMPRIDINE ER","DALFAMPRIDINE","Dalfampridine is used to improve walking in people with multiple sclerosis (MS). It is a potassium channel blocker. It is thought to work by improving nerve conduction.","DALFAMPRIDINE ER_DALFAMPRIDINE","Neurology","Demyelinating_Disease","multiple sclerosis"
"DALIRESP","ROFLUMILAST","Roflumilast is used to control and prevent symptoms (wheezing and shortness of breath) caused by ongoing lung disease (chronic obstructive pulmonary disease-COPD which includes bronchitis). It should be used along with other medications (bronchodilators such as salmeterol, ipratropium) to treat COPD. It works by reducing the irritation and swelling of the airways. Controlling symptoms of breathing problems can decrease time lost from work or school. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden shortness of breath or wheezing. If sudden breathing problems occur, use your quick-relief inhaler (such as albuterol, also called salbutamol in some countries) as prescribed.","DALIRESP_ROFLUMILAST","Pulmonology","Obstructive_Lung_Disease","copd"
"DALVANCE","DALBAVANCIN HCL","This medication is used to treat serious bacterial infections of the skin. It works by stopping the growth of bacteria.","DALVANCE_DALBAVANCIN HCL","Infectious_Disease","General_Infection","bacterial"
"DANAZOL","DANAZOL","This medication is used in women to treat pelvic pain and infertility due to a certain uterus disorder (endometriosis) and also to treat breast pain/tenderness/nodules due to a certain breast condition (fibrocystic breast disease). It is also used in both men and women to prevent swelling of the abdomen/arms/legs/face/airway due to a certain congenital disease (hereditary angioedema). Danazol is an androgen similar to testosterone. For the treatment of endometriosis and fibrocystic breast disease, it works by decreasing the amount of hormones made by the ovaries. These hormones usually make the conditions worse. For the treatment of angioedema, danazol helps to increase the amount of a certain protein in your body's defense system (immune system).","DANAZOL_DANAZOL","Obstetrics","Fertility_Reproduction","fertility"
"DANTRIUM","DANTROLENE SODIUM","This medication is used to treat muscle tightness and cramping (spasms) caused by certain nerve disorders such as spinal cord injury, stroke, cerebral palsy, and multiple sclerosis. It works by relaxing the muscles. Dantrolene helps reduce muscle pain and stiffness, improves your ability to move around, and lets you do more of your daily activities. Dantrolene is also used with other treatments to prevent or treat special cases of high fever (malignant hyperthermia) related to anesthesia and surgery.","DANTRIUM_DANTROLENE SODIUM","Anesthesiology","Perioperative_Anesthesia","anesthesia"
"DANTROLENE SODIUM","DANTROLENE SODIUM","This medication is used to treat muscle tightness and cramping (spasms) caused by certain nerve disorders such as spinal cord injury, stroke, cerebral palsy, and multiple sclerosis. It works by relaxing the muscles. Dantrolene helps reduce muscle pain and stiffness, improves your ability to move around, and lets you do more of your daily activities. Dantrolene is also used with other treatments to prevent or treat special cases of high fever (malignant hyperthermia) related to anesthesia and surgery.","DANTROLENE SODIUM_DANTROLENE SODIUM","Anesthesiology","Perioperative_Anesthesia","anesthesia"
"DAPSONE","DAPSONE","This medication is used to treat a certain type of skin disorder (dermatitis herpetiformis). It is also used with other drugs to treat Hansen's disease. Dapsone belongs to a class of drugs known as sulfones. It works by decreasing swelling (inflammation) and stopping the growth of bacteria. This medication will not work for viral infections (e.g., common cold, flu). Unnecessary use or misuse of any antibiotic can lead to its decreased effectiveness.","DAPSONE_DAPSONE","Dermatology","Inflammatory_Dermatoses","dermatitis"
"DAPTACEL DTAP","DIPH,PERTUSS(ACELL),TET PED/PF","This vaccine is given to provide protection (immunity) against diphtheria, tetanus (lockjaw), and pertussis (whooping cough) in children between 6 weeks and 7 years old. Vaccination is the best way to protect against these life-threatening diseases. Vaccines work by causing the body to produce its own protection (antibodies).","DAPTACEL DTAP_DIPH,PERTUSS(ACELL),TET PED/PF","Vaccine","Vaccination","vaccine"
"DAPTOMYCIN-0.9% NACL","DAPTOMYCIN IN 0.9 % SOD CHLOR","This medication is an antibiotic used to treat serious bacterial infections. It works by stopping the growth of bacteria. Daptomycin is not recommended for use in children younger than 12 months due to possible risk of serious side effects. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. This information does not contain any assurances that this product is safe, effective or appropriate for you.","DAPTOMYCIN-0.9% NACL_DAPTOMYCIN IN 0.9 % SOD CHLOR","Infectious_Disease","General_Infection","bacterial"
"DAPTOMYCIN","DAPTOMYCIN","This medication is an antibiotic used to treat serious bacterial infections. It works by stopping the growth of bacteria. This medication is not recommended for use in children younger than 12 months due to possible risk of serious side effects.","DAPTOMYCIN_DAPTOMYCIN","Infectious_Disease","General_Infection","bacterial"
"DARAPRIM","PYRIMETHAMINE","This medication is used with other medication (such as a sulfonamide) to treat a serious parasite infection (toxoplasmosis) of the body, brain, or eye or to prevent toxoplasmosis infection in people with HIV infection. Rarely, pyrimethamine is used with sulfadoxine to treat malaria. The CDC no longer recommends using pyrimethamine alone to prevent or treat malaria. Pyrimethamine belongs to a class of drugs known as antiparasitics. It works by killing parasites.","DARAPRIM_PYRIMETHAMINE","Infectious_Disease","General_Infection","parasitic"
"DARIFENACIN ER","DARIFENACIN HYDROBROMIDE","Darifenacin is used to treat an overactive bladder. By relaxing the muscles in the bladder, darifenacin improves your ability to control your urination. It helps to reduce leaking of urine, feelings of needing to urinate right away, and frequent trips to the bathroom. This medication belongs to the class of drugs known as antispasmodics.","DARIFENACIN ER_DARIFENACIN HYDROBROMIDE","Otorhinolaryngology","General_ENT","ent"
"DARTISLA","GLYCOPYRROLATE","Glycopyrrolate is used with other drugs to treat a certain type of stomach/intestinal ulcer (peptic ulcer). This medication may help relieve stomach/abdominal pain. However, it has not been shown to be effective in healing these ulcers, preventing them from returning, or preventing other problems caused by ulcers. Glycopyrrolate works by decreasing the amount of acid in the stomach. It also slows the natural movements of the gut and relaxes the muscles in the stomach/intestines. Glycopyrrolate belongs to a class of drugs known as anticholinergics.","DARTISLA_GLYCOPYRROLATE","Gastroenterology","Inflammatory_Bowel","ulcer"
"DARUNAVIR","DARUNAVIR","This drug is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Darunavir belongs to a class of drugs known as protease inhibitors. Darunavir must be given with certain other medications (such as cobicistat, ritonavir) to increase (""boost"") the levels of darunavir. This helps darunavir work better. Darunavir is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details. This medication is not recommended for use in children younger than 3 years due to the increased risk of serious side effects. This information does not contain any assurances that this product is safe, effective or appropriate for you.","DARUNAVIR_DARUNAVIR","Infectious_Disease","HIV_AIDS","hiv"
"DARZALEX FASPRO","DARATUMUMAB-HYALURONIDASE-FIHJ","This medication is used to treat a certain type of cancer (multiple myeloma). This medication contains 2 ingredients: daratumumab and hyaluronidase. Daratumumab belongs to a class of drugs known as monoclonal antibodies. It works by slowing or stopping the growth of cancer cells. Hyaluronidase is used to help the body absorb daratumumab, which helps it work better. This medication is also used to treat light chain (AL) amyloidosis. This monograph is about the following daratumumab/hyaluronidase products: daratumumab/hyaluronidase, daratumumab/hyaluronidase-fihj.","DARZALEX FASPRO_DARATUMUMAB-HYALURONIDASE-FIHJ","Oncology","General_Oncology","cancer"
"DARZALEX","DARATUMUMAB","This medication is used to treat a certain type of cancer (multiple myeloma). Daratumumab belongs to a class of drugs known as monoclonal antibodies. It works by slowing or stopping the growth of cancer cells.","DARZALEX_DARATUMUMAB","Oncology","General_Oncology","cancer"
"DASETTA","NORETHINDRONE-ETHIN. ESTRADIOL","This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen. It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia).","DASETTA_NORETHINDRONE-ETHIN. ESTRADIOL","Dermatology","Acne","acne"
"DASETTA","NORETHINDRONE-ETHINYL ESTRAD","This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen. It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia).","DASETTA_NORETHINDRONE-ETHINYL ESTRAD","Dermatology","Acne","acne"
"DAURISMO","GLASDEGIB MALEATE","This medication is used to treat a certain type of cancer (acute myeloid leukemia-AML). It works by slowing or stopping the growth of cancer cells.","DAURISMO_GLASDEGIB MALEATE","Oncology","General_Oncology","cancer"
"DAXBIA","CEPHALEXIN","This medication is used to treat a wide variety of bacterial infections. This medication is known as a cephalosporin antibiotic. It works by stopping the growth of bacteria. This medication will not work for viral infections (such as common cold, flu). Unnecessary use or misuse of any antibiotic can lead to its decreased effectiveness.","DAXBIA_CEPHALEXIN","Infectious_Disease","General_Infection","bacterial"
"DAYBUE","TROFINETIDE","This medication is used to treat a certain rare genetic disorder (Rett syndrome). This disorder affects the development of the brain. Trofinetide may help lessen the symptoms of Rett syndrome. This information does not contain any assurances that this product is safe, effective or appropriate for you.","DAYBUE_TROFINETIDE","Otorhinolaryngology","General_ENT","ent"
"DAYPRO","OXAPROZIN","Oxaprozin is used to treat arthritis. It reduces pain, swelling, and stiffness of the joints. Oxaprozin is known as a nonsteroidal anti-inflammatory drug (NSAID). If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. See also Warning section.","DAYPRO_OXAPROZIN","Orthopedics","Musculoskeletal","joint"
"DAYSEE","L-NORGEST/E.ESTRADIOL-E.ESTRAD","This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin (levonorgestrel) and an estrogen (ethinyl estradiol). It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia).","DAYSEE_L-NORGEST/E.ESTRADIOL-E.ESTRAD","Dermatology","Acne","acne"
"DAYTRANA","METHYLPHENIDATE","This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Methylphenidate belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills.","DAYTRANA_METHYLPHENIDATE","Psychiatry","ADHD","adhd"
"DAYVIGO","LEMBOREXANT","This medication is used to treat a certain sleep problem (insomnia). It may help you fall asleep, and help you stay asleep longer, so you can get a better night's rest. Lemborexant belongs to a class of drugs known as sedative-hypnotics. If your insomnia continues for longer than 7 to 10 days after starting treatment, talk to your doctor to see if you need other treatment.","DAYVIGO_LEMBOREXANT","Psychiatry","Sleep_Disorders","insomnia"
"DDAVP","DESMOPRESSIN (NONREFRIGERATED)","Desmopressin is used to control the amount of urine your kidneys make. Normally, the amount of urine you make is controlled by a certain substance in the body called vasopressin. In people who have ""water diabetes"" (diabetes insipidus) or certain kinds of head injury or brain surgery, the body does not make enough vasopressin. Desmopressin is a man-made form of vasopressin and is used to replace a low level of vasopressin. This medication helps to control increased thirst and too much urination due to these conditions, and helps prevent dehydration. Desmopressin products applied in the nose are no longer indicated to control nighttime bedwetting in children because of the increased risk of developing a serious side effect (a low level of sodium in the blood).","DDAVP_DESMOPRESSIN (NONREFRIGERATED)","Endocrinology","Diabetes","diabetes"
"DDAVP","DESMOPRESSIN ACETATE","Desmopressin is used to control the amount of urine your kidneys make. Normally, the amount of urine you make is controlled by a certain substance in the body called vasopressin. In people who have ""water diabetes"" (diabetes insipidus) or certain kinds of head injury or brain surgery, the body does not make enough vasopressin. Desmopressin is a man-made form of vasopressin and is used to replace a low level of vasopressin. This medication helps to control increased thirst and too much urination due to these conditions, and helps prevent dehydration. Desmopressin is also used to control nighttime bedwetting in children. It reduces how often your child urinates and decreases the number of bedwetting episodes.","DDAVP_DESMOPRESSIN ACETATE","Endocrinology","Diabetes","diabetes"
"DEBLITANE","NORETHINDRONE","This medication is used to prevent pregnancy. It is often referred to as the ""mini-pill"" because it does not contain any estrogen. Norethindrone (a form of progestin) is a hormone that prevents pregnancy by making vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changing the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. This medication also stops the release of an egg (ovulation) in about half of a woman's menstrual cycles. While the ""mini-pill"" is more effective than certain other methods of birth control (such as condoms, cervical cap, diaphragm), it is less effective than combination hormone (estrogen and progestin) birth control because it does not consistently prevent ovulation. It is usually used by women who cannot take estrogen. To reduce the risk of pregnancy, it is very important to take this medication exactly as prescribed. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia).","DEBLITANE_NORETHINDRONE","Infectious_Disease","HIV_AIDS","hiv"
"DECADRON","DEXAMETHASONE","Dexamethasone is used to treat conditions such as arthritis, blood/hormone disorders, allergic reactions, skin diseases, eye problems, breathing problems, bowel disorders, cancer, and immune system disorders. It is also used as a test for an adrenal gland disorder (Cushing's syndrome). Dexamethasone belongs to a class of drugs known as corticosteroids. It decreases your immune system's response to various diseases to reduce symptoms such as swelling and allergic-type reactions.","DECADRON_DEXAMETHASONE","Orthopedics","Arthritis","arthritis"
"DECITABINE","DECITABINE","This medication is used to treat a group of blood/bone marrow disorders (myelodysplastic syndromes-MDS) in which the bone marrow does not produce enough healthy blood cells. People with MDS may have problems such as infections, anemia, and easy bleeding/bruising. Decitabine is a chemotherapy drug. It is believed to work by helping your bone marrow grow normal blood cells so you will need fewer blood transfusions. Decitabine also kills abnormal blood cells that have grown too fast and do not work properly.","DECITABINE_DECITABINE","Hematology","Anemia","anemia"
"DEFERASIROX","DEFERASIROX","This medication is used to treat ongoing high levels of iron in the body caused by multiple blood transfusions. It is also used to treat high levels of iron in people with a certain blood disorder who do not require blood transfusions (non-transfusion-dependent thalassemia). It works by binding to iron, allowing the body to pass extra iron out in the stool. Deferasirox belongs to a class of drugs known as iron-chelating agents. Frequent blood transfusions are often needed in certain types of blood diseases (such as sickle cell disease, anemia). Blood transfusions have very helpful benefits, but they can cause the body to hold on to too much iron. The extra iron can build up in the body and cause problems such as heart failure, liver disease, and diabetes. Getting rid of extra iron can decrease the risk of these diseases.","DEFERASIROX_DEFERASIROX","Endocrinology","Diabetes","diabetes"
"DEFERIPRONE (3 TIMES A DAY)","DEFERIPRONE","This medication is used by people with certain blood disorders (such as thalassemia, sickle cell anemia) who have too much iron in the body, caused by repeated blood transfusions. Blood transfusions help people with blood disorders but they also bring extra iron into the body. It is important to get rid of the extra iron because high levels of iron can cause health problems (such as heart failure, liver disease, diabetes, delayed growth in children). Deferiprone is used if you have trouble taking other traditional iron-removal medications or you continue to have high iron levels after taking other iron-removal medications. Deferiprone belongs to a class of drugs known as iron chelators. It works by attaching to iron which helps your body pass the extra iron out in the urine.","DEFERIPRONE (3 TIMES A DAY)_DEFERIPRONE","Endocrinology","Diabetes","diabetes"
"DEFERIPRONE","DEFERIPRONE","This medication is used by people with certain blood disorders (such as thalassemia, sickle cell anemia) who have too much iron in the body, caused by repeated blood transfusions. Blood transfusions help people with blood disorders but they also bring extra iron into the body. It is important to get rid of the extra iron because high levels of iron can cause health problems (such as heart failure, liver disease, diabetes, delayed growth in children). Deferiprone is used if you have trouble taking other traditional iron-removal medications or you continue to have high iron levels after taking other iron-removal medications. Deferiprone belongs to a class of drugs known as iron chelators. It works by attaching to iron which helps your body pass the extra iron out in the urine.","DEFERIPRONE_DEFERIPRONE","Endocrinology","Diabetes","diabetes"
"DEFEROXAMINE MESYLATE","DEFEROXAMINE MESYLATE","This medication is used along with other treatments (such as causing vomiting with syrup of ipecac, stomach pumping) to treat sudden iron poisoning. It is most effective when given as soon as possible after the iron was eaten. This medication can also be used to help get rid of iron in patients with high iron levels due to many blood transfusions. Deferoxamine is an iron-binding agent that belongs to a class of drugs known as heavy metal antagonists. It works by helping the kidneys and gallbladder get rid of the extra iron. This medication is not recommended for use in children less than 3 years old (see also Precautions section).","DEFEROXAMINE MESYLATE_DEFEROXAMINE MESYLATE","Gastroenterology","Pancreatobiliary","gallbladder"
"DELESTROGEN","ESTRADIOL VALERATE","This medication is a female hormone (estrogen). It is used by women to help reduce symptoms of menopause (such as hot flashes, vaginal dryness). These symptoms are caused by the body making less estrogen. If you are using this medication to treat symptoms only in and around the vagina, products applied directly inside the vagina should be considered before medications that are taken by mouth, absorbed through the skin, or injected. This medication may also be used by women who are not able to produce enough estrogen (for example, due to hypogonadism, primary ovarian failure) and by men to treat prostate cancer.","DELESTROGEN_ESTRADIOL VALERATE","Urology","Prostate","prostate"
"DELSTRIGO","DORAVIRINE/LAMIVU/TENOFOV DISO","This combination product is used by itself to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. This product is a combination of 3 different drugs: doravirine, lamivudine, and tenofovir. Doravirine belongs to a class of drugs known as non-nucleoside reverse transcriptase inhibitors (NNRTIs). Lamivudine is called a nucleoside reverse transcriptase inhibitor and tenofovir is called a nucleotide reverse transcriptase inhibitor. Lamivudine and tenofovir are often called NRTIs. Doravirine/lamivudine/tenofovir is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, do all of the following: (1) continue to take all HIV medications exactly as prescribed by your doctor, (2) always use an effective barrier method (latex or polyurethane condoms/dental dams) during all sexual activity, and (3) do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details.","DELSTRIGO_DORAVIRINE/LAMIVU/TENOFOV DISO","Infectious_Disease","HIV_AIDS","hiv"
"DELZICOL","MESALAMINE","This medication is used to treat a certain bowel disease (ulcerative colitis). It helps to reduce symptoms of ulcerative colitis such as diarrhea, rectal bleeding, and stomach pain. Mesalamine belongs to a class of drugs known as aminosalicylates. It works by decreasing swelling in the colon.","DELZICOL_MESALAMINE","Gastroenterology","Inflammatory_Bowel","ulcer"
"DEMADEX","TORSEMIDE","Torsemide is used to reduce extra fluid in the body (edema) caused by conditions such as heart failure, liver disease, and kidney disease. This can lessen symptoms such as shortness of breath and swelling in your arms, legs, and abdomen. This drug is also used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Torsemide is a ""water pill"" (diuretic) that causes you to make more urine. This helps your body get rid of extra water and salt.","DEMADEX_TORSEMIDE","Cardiology","Vascular_Heart_Disease","stroke"
"DEMECLOCYCLINE HCL","DEMECLOCYCLINE HCL","Demeclocycline is used to treat a wide variety of bacterial infections, including those that cause acne. This medication is known as a tetracycline antibiotic. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (e.g., common cold, flu). Unnecessary use or misuse of any antibiotic can lead to its decreased effectiveness.","DEMECLOCYCLINE HCL_DEMECLOCYCLINE HCL","Dermatology","Acne","acne"
"DEMEROL","MEPERIDINE HCL","Meperidine is used to help relieve moderate to severe pain. It belongs to a class of drugs known as opioid (narcotic) analgesics and is similar to morphine. It works in the brain to change how your body feels and responds to pain. Meperidine should not be used to treat long-term or ongoing pain. It should only be used to treat sudden episodes of moderate to severe pain. See also Precautions section.","DEMEROL_MEPERIDINE HCL","Pain_Management","General_Pain","analgesic"
